# c, p(c)
8.190954773869346672e-01,0.000000000000000000e+00
8.241206030150753925e-01,0.000000000000000000e+00
8.291457286432161178e-01,0.000000000000000000e+00
8.341708542713568431e-01,0.000000000000000000e+00
8.391959798994974573e-01,0.000000000000000000e+00
8.442211055276381826e-01,0.000000000000000000e+00
8.492462311557789079e-01,0.000000000000000000e+00
8.542713567839196331e-01,0.000000000000000000e+00
8.592964824120603584e-01,0.000000000000000000e+00
8.643216080402009727e-01,0.000000000000000000e+00
8.693467336683416979e-01,0.000000000000000000e+00
8.743718592964824232e-01,0.000000000000000000e+00
8.793969849246231485e-01,0.000000000000000000e+00
8.844221105527638738e-01,0.000000000000000000e+00
8.894472361809044880e-01,0.000000000000000000e+00
8.944723618090452133e-01,0.000000000000000000e+00
8.994974874371859386e-01,0.000000000000000000e+00
9.045226130653266639e-01,0.000000000000000000e+00
9.095477386934673891e-01,0.000000000000000000e+00
9.145728643216080034e-01,0.000000000000000000e+00
9.195979899497487287e-01,0.000000000000000000e+00
9.246231155778894539e-01,0.000000000000000000e+00
9.296482412060301792e-01,0.000000000000000000e+00
9.346733668341709045e-01,0.000000000000000000e+00
9.396984924623115187e-01,0.000000000000000000e+00
9.447236180904522440e-01,0.000000000000000000e+00
9.497487437185929693e-01,0.000000000000000000e+00
9.547738693467336946e-01,0.000000000000000000e+00
9.597989949748744198e-01,0.000000000000000000e+00
9.648241206030150341e-01,0.000000000000000000e+00
9.698492462311557594e-01,0.000000000000000000e+00
9.748743718592964846e-01,0.000000000000000000e+00
9.798994974874372099e-01,0.000000000000000000e+00
9.849246231155779352e-01,0.000000000000000000e+00
9.899497487437186605e-01,0.000000000000000000e+00
9.949748743718592747e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
